sample,context,precision,sensitivity,fmeasure
NovaSeq2x150_LAB01_Son_REP01,L2,0.9992,0.9963,0.9978
NovaSeq2x150_LAB01_Son_REP01,lowcomplexity,0.9948,0.9825,0.9886
NovaSeq2x150_LAB01_Son_REP01,LTR,0.9986,0.9955,0.9971
NovaSeq2x150_LAB01_Son_REP01,satellite,0.9951,0.9923,0.9937
NovaSeq2x150_LAB01_Son_REP01,simplerepeat,0.9901,0.9822,0.9862
NovaSeq2x150_LAB02_Father_REP01,Alu,0.9970,0.9943,0.9956
NovaSeq2x150_LAB02_Father_REP01,L1,0.9971,0.9826,0.9898
NovaSeq2x150_LAB02_Father_REP01,L2,0.9987,0.9960,0.9973
NovaSeq2x150_LAB02_Father_REP01,lowcomplexity,0.9947,0.9885,0.9916
NovaSeq2x150_LAB02_Father_REP01,LTR,0.9984,0.9946,0.9965
NovaSeq2x150_LAB02_Father_REP01,satellite,0.9975,0.9887,0.9931
NovaSeq2x150_LAB02_Father_REP01,simplerepeat,0.9916,0.9837,0.9876
NovaSeq2x150_LAB02_Mother_REP01,Alu,0.9972,0.9941,0.9956
NovaSeq2x150_LAB02_Mother_REP01,L1,0.9970,0.9824,0.9897
NovaSeq2x150_LAB02_Mother_REP01,L2,0.9989,0.9959,0.9974
NovaSeq2x150_LAB02_Mother_REP01,lowcomplexity,0.9952,0.9910,0.9931
NovaSeq2x150_LAB02_Mother_REP01,LTR,0.9983,0.9954,0.9969
NovaSeq2x150_LAB02_Mother_REP01,satellite,0.9960,0.9553,0.9752
NovaSeq2x150_LAB02_Mother_REP01,simplerepeat,0.9909,0.9855,0.9882
NovaSeq2x150_LAB02_Son_REP01,Alu,0.9964,0.9936,0.9950
NovaSeq2x150_LAB02_Son_REP01,L1,0.9959,0.9817,0.9888
NovaSeq2x150_LAB02_Son_REP01,L2,0.9977,0.9961,0.9969
NovaSeq2x150_LAB02_Son_REP01,lowcomplexity,0.9931,0.9776,0.9853
NovaSeq2x150_LAB02_Son_REP01,LTR,0.9980,0.9946,0.9963
NovaSeq2x150_LAB02_Son_REP01,satellite,0.9916,0.9912,0.9914
NovaSeq2x150_LAB02_Son_REP01,simplerepeat,0.9857,0.9777,0.9817
NovaSeq2x250_LAB02_Father_REP01,Alu,0.9969,0.9956,0.9962
NovaSeq2x250_LAB02_Father_REP01,L1,0.9970,0.9891,0.9931
NovaSeq2x250_LAB02_Father_REP01,L2,0.9984,0.9966,0.9975
NovaSeq2x250_LAB02_Father_REP01,lowcomplexity,0.9926,0.9889,0.9908
NovaSeq2x250_LAB02_Father_REP01,LTR,0.9982,0.9956,0.9969
NovaSeq2x250_LAB02_Father_REP01,satellite,0.9970,0.9931,0.9951
NovaSeq2x250_LAB02_Father_REP01,simplerepeat,0.9923,0.9873,0.9898
NovaSeq2x250_LAB02_Mother_REP01,Alu,0.9971,0.9956,0.9964
NovaSeq2x250_LAB02_Mother_REP01,L1,0.9976,0.9885,0.9931
NovaSeq2x250_LAB02_Mother_REP01,L2,0.9989,0.9967,0.9978
NovaSeq2x250_LAB02_Mother_REP01,lowcomplexity,0.9945,0.9916,0.9930
NovaSeq2x250_LAB02_Mother_REP01,LTR,0.9983,0.9963,0.9973
NovaSeq2x250_LAB02_Mother_REP01,satellite,0.9970,0.9548,0.9755
NovaSeq2x250_LAB02_Mother_REP01,simplerepeat,0.9929,0.9906,0.9918
NovaSeq2x250_LAB02_Son_REP01,Alu,0.9978,0.9956,0.9967
NovaSeq2x250_LAB02_Son_REP01,L1,0.9973,0.9889,0.9931
NovaSeq2x250_LAB02_Son_REP01,L2,0.9987,0.9973,0.9980
NovaSeq2x250_LAB02_Son_REP01,lowcomplexity,0.9924,0.9825,0.9874
NovaSeq2x250_LAB02_Son_REP01,LTR,0.9987,0.9964,0.9976
NovaSeq2x250_LAB02_Son_REP01,satellite,0.9965,0.9923,0.9944
NovaSeq2x250_LAB02_Son_REP01,simplerepeat,0.9908,0.9863,0.9885
PacBio_LAB01_Son_REP01-10kb,Alu,0.9783,0.9232,0.9499
PacBio_LAB01_Son_REP01-10kb,L1,0.9922,0.9759,0.9840
PacBio_LAB01_Son_REP01-10kb,L2,0.9959,0.9826,0.9892
PacBio_LAB01_Son_REP01-10kb,lowcomplexity,0.9662,0.8935,0.9284
PacBio_LAB01_Son_REP01-10kb,LTR,0.9959,0.9804,0.9881
PacBio_LAB01_Son_REP01-10kb,satellite,0.9961,0.9800,0.9879
PacBio_LAB01_Son_REP01-10kb,simplerepeat,0.9759,0.8811,0.9261
PacBio_LAB02_Son_REP01-11kb,Alu,0.9899,0.9275,0.9577
PacBio_LAB02_Son_REP01-11kb,L1,0.9959,0.9739,0.9848
PacBio_LAB02_Son_REP01-11kb,L2,0.9977,0.9811,0.9894
PacBio_LAB02_Son_REP01-11kb,lowcomplexity,0.9926,0.9013,0.9448
PacBio_LAB02_Son_REP01-11kb,LTR,0.9966,0.9759,0.9861
PacBio_LAB02_Son_REP01-11kb,satellite,0.9920,0.9170,0.9530
PacBio_LAB02_Son_REP01-11kb,simplerepeat,0.9856,0.8810,0.9304
PacBio_LAB03_Son_REP01-15kb20kb,Alu,0.9903,0.9300,0.9592
PacBio_LAB03_Son_REP01-15kb20kb,L1,0.9970,0.9765,0.9867
PacBio_LAB03_Son_REP01-15kb20kb,L2,0.9980,0.9824,0.9901
PacBio_LAB03_Son_REP01-15kb20kb,lowcomplexity,0.9901,0.9026,0.9443
PacBio_LAB03_Son_REP01-15kb20kb,LTR,0.9972,0.9786,0.9878
PacBio_LAB03_Son_REP01-15kb20kb,satellite,0.9968,0.9761,0.9863
PacBio_LAB03_Son_REP01-15kb20kb,simplerepeat,0.9775,0.8742,0.9229
Nanopore_LAB01_Son_REP01,Alu,0.9330,0.7659,0.8412
Nanopore_LAB01_Son_REP01,L1,0.9376,0.8714,0.9033
Nanopore_LAB01_Son_REP01,L2,0.9343,0.8984,0.9160
Nanopore_LAB01_Son_REP01,lowcomplexity,0.8508,0.4954,0.6262
Nanopore_LAB01_Son_REP01,LTR,0.9318,0.8894,0.9101
Nanopore_LAB01_Son_REP01,satellite,0.9008,0.8430,0.8710
Nanopore_LAB01_Son_REP01,simplerepeat,0.7495,0.2827,0.4106
Nanopore_LAB02_Son_REP01,Alu,0.9373,0.7662,0.8431
Nanopore_LAB02_Son_REP01,L1,0.9404,0.8732,0.9056
Nanopore_LAB02_Son_REP01,L2,0.9362,0.9011,0.9183
Nanopore_LAB02_Son_REP01,lowcomplexity,0.8596,0.4940,0.6274
Nanopore_LAB02_Son_REP01,LTR,0.9340,0.8924,0.9127
Nanopore_LAB02_Son_REP01,satellite,0.9013,0.8444,0.8719
Nanopore_LAB02_Son_REP01,simplerepeat,0.7548,0.2825,0.4111
Nanopore_LAB03_Son_REP01,Alu,0.7551,0.7444,0.7497
Nanopore_LAB03_Son_REP01,L1,0.9385,0.8709,0.9034
Nanopore_LAB03_Son_REP01,L2,0.9353,0.9002,0.9174
Nanopore_LAB03_Son_REP01,lowcomplexity,0.8650,0.4809,0.6181
Nanopore_LAB03_Son_REP01,LTR,0.9322,0.8943,0.9128
Nanopore_LAB03_Son_REP01,satellite,0.8969,0.8562,0.8761
Nanopore_LAB03_Son_REP01,simplerepeat,0.7758,0.2797,0.4112
