sample,context,precision,sensitivity,fmeasure
HiSeq2500_LAB02_Mother_REP01,simplerepeat,0.9644,0.9339,0.9489
HiSeq2500_LAB02_Son_REP01,Alu,0.9855,0.9618,0.9735
HiSeq2500_LAB02_Son_REP01,L1,0.9960,0.9731,0.9844
HiSeq2500_LAB02_Son_REP01,L2,0.9985,0.9947,0.9966
HiSeq2500_LAB02_Son_REP01,lowcomplexity,0.9857,0.9658,0.9756
HiSeq2500_LAB02_Son_REP01,LTR,0.9977,0.9924,0.9950
HiSeq2500_LAB02_Son_REP01,satellite,0.9926,0.9870,0.9898
HiSeq2500_LAB02_Son_REP01,simplerepeat,0.9631,0.9395,0.9511
HiSeq2500_LAB02_Son_REP02,Alu,0.9857,0.9611,0.9733
HiSeq2500_LAB02_Son_REP02,L1,0.9962,0.9744,0.9852
HiSeq2500_LAB02_Son_REP02,L2,0.9984,0.9946,0.9965
HiSeq2500_LAB02_Son_REP02,lowcomplexity,0.9825,0.9636,0.9729
HiSeq2500_LAB02_Son_REP02,LTR,0.9976,0.9923,0.9949
HiSeq2500_LAB02_Son_REP02,satellite,0.9922,0.9852,0.9887
HiSeq2500_LAB02_Son_REP02,simplerepeat,0.9664,0.9361,0.9510
HiSeq2500_LAB02_Son_REP03,Alu,0.9776,0.9308,0.9536
HiSeq2500_LAB02_Son_REP03,L1,0.9921,0.9605,0.9760
HiSeq2500_LAB02_Son_REP03,L2,0.9965,0.9885,0.9925
HiSeq2500_LAB02_Son_REP03,lowcomplexity,0.9729,0.9273,0.9495
HiSeq2500_LAB02_Son_REP03,LTR,0.9955,0.9844,0.9899
HiSeq2500_LAB02_Son_REP03,satellite,0.9900,0.9715,0.9807
HiSeq2500_LAB02_Son_REP03,simplerepeat,0.9381,0.8689,0.9021
HiSeq2500_LAB03_Father_REP01,Alu,0.9894,0.9698,0.9795
HiSeq2500_LAB03_Father_REP01,L1,0.9971,0.9649,0.9808
HiSeq2500_LAB03_Father_REP01,L2,0.9984,0.9935,0.9960
HiSeq2500_LAB03_Father_REP01,lowcomplexity,0.9904,0.9672,0.9787
HiSeq2500_LAB03_Father_REP01,LTR,0.9978,0.9895,0.9936
HiSeq2500_LAB03_Father_REP01,satellite,0.9920,0.9793,0.9856
HiSeq2500_LAB03_Father_REP01,simplerepeat,0.9615,0.9241,0.9425
