sample,context,error
HiSeq2500_LAB03_Son_REP02,LTR,4.707848e-03
HiSeq2500_LAB03_Son_REP02,satellite,3.999661e-02
HiSeq2500_LAB03_Son_REP02,simplerepeat,2.479164e-02
HiSeq2500_LAB03_Son_REP03,Alu,8.472580e-03
HiSeq2500_LAB03_Son_REP03,L1,4.195737e-03
HiSeq2500_LAB03_Son_REP03,L2,4.603363e-03
HiSeq2500_LAB03_Son_REP03,lowcomplexity,1.545389e-02
HiSeq2500_LAB03_Son_REP03,LTR,4.356713e-03
HiSeq2500_LAB03_Son_REP03,satellite,3.885855e-02
HiSeq2500_LAB03_Son_REP03,simplerepeat,2.462654e-02
HiSeq4000_LAB01_Father_REP01,Alu,1.377509e-02
HiSeq4000_LAB01_Father_REP01,L1,7.283263e-03
HiSeq4000_LAB01_Father_REP01,L2,8.321966e-03
HiSeq4000_LAB01_Father_REP01,lowcomplexity,2.361498e-02
HiSeq4000_LAB01_Father_REP01,LTR,7.336533e-03
HiSeq4000_LAB01_Father_REP01,satellite,4.597792e-02
HiSeq4000_LAB01_Father_REP01,simplerepeat,3.418036e-02
HiSeq4000_LAB01_Mother_REP01,Alu,1.423239e-02
HiSeq4000_LAB01_Mother_REP01,L1,7.622091e-03
HiSeq4000_LAB01_Mother_REP01,L2,8.807778e-03
HiSeq4000_LAB01_Mother_REP01,lowcomplexity,2.405147e-02
HiSeq4000_LAB01_Mother_REP01,LTR,7.705519e-03
HiSeq4000_LAB01_Mother_REP01,satellite,4.786783e-02
HiSeq4000_LAB01_Mother_REP01,simplerepeat,3.670037e-02
HiSeq4000_LAB01_Son_REP02,Alu,1.520087e-02
HiSeq4000_LAB01_Son_REP02,L1,8.460152e-03
HiSeq4000_LAB01_Son_REP02,L2,9.832639e-03
HiSeq4000_LAB01_Son_REP02,lowcomplexity,2.642376e-02
HiSeq4000_LAB01_Son_REP02,LTR,8.623803e-03
HiSeq4000_LAB01_Son_REP02,satellite,4.676359e-02
HiSeq4000_LAB01_Son_REP02,simplerepeat,3.575573e-02
HiSeq4000_LAB01_Son_REP03,Alu,1.433514e-02
HiSeq4000_LAB01_Son_REP03,L1,8.299861e-03
HiSeq4000_LAB01_Son_REP03,L2,9.222932e-03
HiSeq4000_LAB01_Son_REP03,lowcomplexity,2.586275e-02
HiSeq4000_LAB01_Son_REP03,LTR,8.031357e-03
HiSeq4000_LAB01_Son_REP03,satellite,4.535013e-02
HiSeq4000_LAB01_Son_REP03,simplerepeat,3.563971e-02
HiSeq4000_LAB02_Father_REP01,Alu,1.405563e-02
HiSeq4000_LAB02_Father_REP01,L1,7.128925e-03
HiSeq4000_LAB02_Father_REP01,L2,8.228744e-03
HiSeq4000_LAB02_Father_REP01,lowcomplexity,2.262491e-02
HiSeq4000_LAB02_Father_REP01,LTR,7.297887e-03
HiSeq4000_LAB02_Father_REP01,satellite,4.498929e-02
HiSeq4000_LAB02_Father_REP01,simplerepeat,3.318350e-02
HiSeq4000_LAB02_Mother_REP01,Alu,1.360636e-02
HiSeq4000_LAB02_Mother_REP01,L1,6.957797e-03
HiSeq4000_LAB02_Mother_REP01,L2,8.075091e-03
HiSeq4000_LAB02_Mother_REP01,lowcomplexity,2.245238e-02
HiSeq4000_LAB02_Mother_REP01,LTR,7.139377e-03
HiSeq4000_LAB02_Mother_REP01,satellite,4.653712e-02
HiSeq4000_LAB02_Mother_REP01,simplerepeat,3.486820e-02
HiSeq4000_LAB02_Son_REP01,Alu,1.221660e-02
HiSeq4000_LAB02_Son_REP01,L1,6.174877e-03
HiSeq4000_LAB02_Son_REP01,L2,6.887230e-03
HiSeq4000_LAB02_Son_REP01,lowcomplexity,2.095869e-02
HiSeq4000_LAB02_Son_REP01,LTR,6.136661e-03
HiSeq4000_LAB02_Son_REP01,satellite,4.449904e-02
HiSeq4000_LAB02_Son_REP01,simplerepeat,3.160589e-02
HiSeq4000_LAB02_Son_REP02,Alu,1.354769e-02
HiSeq4000_LAB02_Son_REP02,L1,6.656650e-03
HiSeq4000_LAB02_Son_REP02,L2,7.672018e-03
HiSeq4000_LAB02_Son_REP02,lowcomplexity,2.151293e-02
HiSeq4000_LAB02_Son_REP02,LTR,6.840298e-03
HiSeq4000_LAB02_Son_REP02,satellite,4.583661e-02
HiSeq4000_LAB02_Son_REP02,simplerepeat,3.234810e-02
HiSeq4000_LAB02_Son_REP03,Alu,1.363562e-02
HiSeq4000_LAB02_Son_REP03,L1,7.060618e-03
HiSeq4000_LAB02_Son_REP03,L2,8.022971e-03
HiSeq4000_LAB02_Son_REP03,lowcomplexity,2.245442e-02
HiSeq4000_LAB02_Son_REP03,LTR,7.100304e-03
HiSeq4000_LAB02_Son_REP03,satellite,4.568940e-02
HiSeq4000_LAB02_Son_REP03,simplerepeat,3.305079e-02
HiSeq4000_LAB03_Father_REP01,Alu,1.509086e-02
HiSeq4000_LAB03_Father_REP01,L1,8.097020e-03
HiSeq4000_LAB03_Father_REP01,L2,9.086620e-03
HiSeq4000_LAB03_Father_REP01,lowcomplexity,2.454220e-02
HiSeq4000_LAB03_Father_REP01,LTR,7.980964e-03
HiSeq4000_LAB03_Father_REP01,satellite,4.603107e-02
HiSeq4000_LAB03_Father_REP01,simplerepeat,3.417836e-02
HiSeq4000_LAB03_Mother_REP01,Alu,1.493025e-02
HiSeq4000_LAB03_Mother_REP01,L1,8.199397e-03
HiSeq4000_LAB03_Mother_REP01,L2,9.252676e-03
HiSeq4000_LAB03_Mother_REP01,lowcomplexity,2.519565e-02
HiSeq4000_LAB03_Mother_REP01,LTR,8.087139e-03
HiSeq4000_LAB03_Mother_REP01,satellite,4.685200e-02
HiSeq4000_LAB03_Mother_REP01,simplerepeat,3.651509e-02
HiSeq4000_LAB03_Son_REP01,Alu,1.465807e-02
HiSeq4000_LAB03_Son_REP01,L1,8.289911e-03
HiSeq4000_LAB03_Son_REP01,L2,9.113721e-03
HiSeq4000_LAB03_Son_REP01,lowcomplexity,2.521906e-02
HiSeq4000_LAB03_Son_REP01,LTR,7.955519e-03
HiSeq4000_LAB03_Son_REP01,satellite,4.546746e-02
HiSeq4000_LAB03_Son_REP01,simplerepeat,3.454451e-02
HiSeq4000_LAB03_Son_REP02,Alu,1.497581e-02
HiSeq4000_LAB03_Son_REP02,L1,8.027174e-03
HiSeq4000_LAB03_Son_REP02,L2,9.021389e-03
HiSeq4000_LAB03_Son_REP02,lowcomplexity,2.459590e-02
HiSeq4000_LAB03_Son_REP02,LTR,7.937361e-03
HiSeq4000_LAB03_Son_REP02,satellite,4.656358e-02
HiSeq4000_LAB03_Son_REP02,simplerepeat,3.406098e-02
HiSeq4000_LAB03_Son_REP03,Alu,1.591383e-02
HiSeq4000_LAB03_Son_REP03,L1,8.801563e-03
HiSeq4000_LAB03_Son_REP03,L2,9.916611e-03
HiSeq4000_LAB03_Son_REP03,lowcomplexity,2.587206e-02
HiSeq4000_LAB03_Son_REP03,LTR,8.655885e-03
HiSeq4000_LAB03_Son_REP03,satellite,4.690201e-02
HiSeq4000_LAB03_Son_REP03,simplerepeat,3.532989e-02
HiSeqX10_LAB01_Father_REP01,Alu,1.410172e-02
HiSeqX10_LAB01_Father_REP01,L1,8.295370e-03
HiSeqX10_LAB01_Father_REP01,L2,9.944255e-03
HiSeqX10_LAB01_Father_REP01,lowcomplexity,2.485885e-02
HiSeqX10_LAB01_Father_REP01,LTR,8.790054e-03
HiSeqX10_LAB01_Father_REP01,satellite,4.591055e-02
HiSeqX10_LAB01_Father_REP01,simplerepeat,3.563265e-02
HiSeqX10_LAB01_Mother_REP01,Alu,1.415516e-02
HiSeqX10_LAB01_Mother_REP01,L1,8.120419e-03
HiSeqX10_LAB01_Mother_REP01,L2,9.931643e-03
HiSeqX10_LAB01_Mother_REP01,lowcomplexity,2.501731e-02
HiSeqX10_LAB01_Mother_REP01,LTR,8.750323e-03
HiSeqX10_LAB01_Mother_REP01,satellite,4.805578e-02
HiSeqX10_LAB01_Mother_REP01,simplerepeat,3.746982e-02
HiSeqX10_LAB01_Son_REP01,Alu,1.309808e-02
HiSeqX10_LAB01_Son_REP01,L1,7.493764e-03
HiSeqX10_LAB01_Son_REP01,L2,9.066525e-03
HiSeqX10_LAB01_Son_REP01,lowcomplexity,2.335793e-02
HiSeqX10_LAB01_Son_REP01,LTR,8.054445e-03
HiSeqX10_LAB01_Son_REP01,satellite,4.684261e-02
HiSeqX10_LAB01_Son_REP01,simplerepeat,3.461931e-02
HiSeqX10_LAB01_Son_REP02,Alu,1.372280e-02
HiSeqX10_LAB01_Son_REP02,L1,7.511786e-03
HiSeqX10_LAB01_Son_REP02,L2,9.273850e-03
HiSeqX10_LAB01_Son_REP02,lowcomplexity,2.350877e-02
HiSeqX10_LAB01_Son_REP02,LTR,8.270461e-03
HiSeqX10_LAB01_Son_REP02,satellite,4.749043e-02
HiSeqX10_LAB01_Son_REP02,simplerepeat,3.472315e-02
HiSeqX10_LAB01_Son_REP03,Alu,1.193279e-02
HiSeqX10_LAB01_Son_REP03,L1,6.972214e-03
HiSeqX10_LAB01_Son_REP03,L2,8.132029e-03
HiSeqX10_LAB01_Son_REP03,lowcomplexity,2.264971e-02
HiSeqX10_LAB01_Son_REP03,LTR,7.228838e-03
HiSeqX10_LAB01_Son_REP03,satellite,4.581233e-02
HiSeqX10_LAB01_Son_REP03,simplerepeat,3.349850e-02
HiSeqX10_LAB02_Father_REP01,Alu,1.164432e-02
HiSeqX10_LAB02_Father_REP01,L1,6.254137e-03
HiSeqX10_LAB02_Father_REP01,L2,7.490369e-03
HiSeqX10_LAB02_Father_REP01,lowcomplexity,2.025393e-02
HiSeqX10_LAB02_Father_REP01,LTR,6.690012e-03
HiSeqX10_LAB02_Father_REP01,satellite,4.543668e-02
HiSeqX10_LAB02_Father_REP01,simplerepeat,3.214191e-02
HiSeqX10_LAB02_Mother_REP01,Alu,1.367478e-02
HiSeqX10_LAB02_Mother_REP01,L1,8.060236e-03
HiSeqX10_LAB02_Mother_REP01,L2,9.798588e-03
HiSeqX10_LAB02_Mother_REP01,lowcomplexity,2.386668e-02
HiSeqX10_LAB02_Mother_REP01,LTR,8.608471e-03
HiSeqX10_LAB02_Mother_REP01,satellite,4.744507e-02
HiSeqX10_LAB02_Mother_REP01,simplerepeat,3.684700e-02
HiSeqX10_LAB02_Son_REP01,Alu,1.176233e-02
HiSeqX10_LAB02_Son_REP01,L1,6.640599e-03
HiSeqX10_LAB02_Son_REP01,L2,7.845113e-03
HiSeqX10_LAB02_Son_REP01,lowcomplexity,2.105048e-02
HiSeqX10_LAB02_Son_REP01,LTR,6.988952e-03
HiSeqX10_LAB02_Son_REP01,satellite,4.601511e-02
HiSeqX10_LAB02_Son_REP01,simplerepeat,3.307684e-02
HiSeqX10_LAB02_Son_REP02,Alu,1.151147e-02
HiSeqX10_LAB02_Son_REP02,L1,6.176405e-03
HiSeqX10_LAB02_Son_REP02,L2,7.395672e-03
HiSeqX10_LAB02_Son_REP02,lowcomplexity,2.029930e-02
HiSeqX10_LAB02_Son_REP02,LTR,6.632277e-03
HiSeqX10_LAB02_Son_REP02,satellite,4.605722e-02
HiSeqX10_LAB02_Son_REP02,simplerepeat,3.234750e-02
HiSeqX10_LAB02_Son_REP03,Alu,1.206159e-02
HiSeqX10_LAB02_Son_REP03,L1,6.795971e-03
HiSeqX10_LAB02_Son_REP03,L2,8.086329e-03
HiSeqX10_LAB02_Son_REP03,lowcomplexity,2.115822e-02
HiSeqX10_LAB02_Son_REP03,LTR,7.176563e-03
HiSeqX10_LAB02_Son_REP03,satellite,4.651274e-02
HiSeqX10_LAB02_Son_REP03,simplerepeat,3.313293e-02
MGISEQ2000_LAB01_Father_REP01,Alu,1.568608e-02
MGISEQ2000_LAB01_Father_REP01,L1,9.776854e-03
MGISEQ2000_LAB01_Father_REP01,L2,1.289854e-02
MGISEQ2000_LAB01_Father_REP01,lowcomplexity,2.577747e-02
MGISEQ2000_LAB01_Father_REP01,LTR,1.108817e-02
MGISEQ2000_LAB01_Father_REP01,satellite,4.462394e-02
MGISEQ2000_LAB01_Father_REP01,simplerepeat,3.479440e-02
MGISEQ2000_LAB01_Mother_REP01,Alu,1.681709e-02
MGISEQ2000_LAB01_Mother_REP01,L1,1.017068e-02
MGISEQ2000_LAB01_Mother_REP01,L2,1.316699e-02
MGISEQ2000_LAB01_Mother_REP01,lowcomplexity,2.634305e-02
MGISEQ2000_LAB01_Mother_REP01,LTR,1.130428e-02
MGISEQ2000_LAB01_Mother_REP01,satellite,4.580493e-02
MGISEQ2000_LAB01_Mother_REP01,simplerepeat,3.704371e-02
MGISEQ2000_LAB01_Mother_REP02,Alu,1.988079e-02
MGISEQ2000_LAB01_Mother_REP02,L1,1.277990e-02
MGISEQ2000_LAB01_Mother_REP02,L2,1.705582e-02
MGISEQ2000_LAB01_Mother_REP02,lowcomplexity,3.213043e-02
MGISEQ2000_LAB01_Mother_REP02,LTR,1.455762e-02
MGISEQ2000_LAB01_Mother_REP02,satellite,4.791098e-02
MGISEQ2000_LAB01_Mother_REP02,simplerepeat,4.227866e-02
MGISEQ2000_LAB01_Son_REP01,Alu,1.398296e-02
MGISEQ2000_LAB01_Son_REP01,L1,8.494237e-03
MGISEQ2000_LAB01_Son_REP01,L2,1.118843e-02
MGISEQ2000_LAB01_Son_REP01,lowcomplexity,2.312775e-02
MGISEQ2000_LAB01_Son_REP01,LTR,9.652077e-03
MGISEQ2000_LAB01_Son_REP01,satellite,4.520928e-02
MGISEQ2000_LAB01_Son_REP01,simplerepeat,3.278643e-02
NovaSeq2x150_LAB01_Father_REP01,Alu,1.082170e-02
NovaSeq2x150_LAB01_Father_REP01,L1,5.233858e-03
NovaSeq2x150_LAB01_Father_REP01,L2,5.598655e-03
NovaSeq2x150_LAB01_Father_REP01,lowcomplexity,1.787956e-02
NovaSeq2x150_LAB01_Father_REP01,LTR,5.048366e-03
NovaSeq2x150_LAB01_Father_REP01,satellite,4.550019e-02
NovaSeq2x150_LAB01_Father_REP01,simplerepeat,3.065019e-02
NovaSeq2x150_LAB01_Mother_REP01,Alu,1.114194e-02
NovaSeq2x150_LAB01_Mother_REP01,L1,5.535050e-03
NovaSeq2x150_LAB01_Mother_REP01,L2,5.947536e-03
NovaSeq2x150_LAB01_Mother_REP01,lowcomplexity,1.854424e-02
NovaSeq2x150_LAB01_Mother_REP01,LTR,5.314503e-03
NovaSeq2x150_LAB01_Mother_REP01,satellite,4.752839e-02
NovaSeq2x150_LAB01_Mother_REP01,simplerepeat,3.264336e-02
NovaSeq2x150_LAB01_Son_REP01,Alu,1.116263e-02
NovaSeq2x150_LAB01_Son_REP01,L1,5.409340e-03
NovaSeq2x150_LAB01_Son_REP01,L2,5.832356e-03
NovaSeq2x150_LAB01_Son_REP01,lowcomplexity,1.830245e-02
NovaSeq2x150_LAB01_Son_REP01,LTR,5.235925e-03
NovaSeq2x150_LAB01_Son_REP01,satellite,4.633647e-02
NovaSeq2x150_LAB01_Son_REP01,simplerepeat,3.113949e-02
NovaSeq2x150_LAB02_Father_REP01,Alu,1.013229e-02
NovaSeq2x150_LAB02_Father_REP01,L1,5.096222e-03
NovaSeq2x150_LAB02_Father_REP01,L2,5.250457e-03
NovaSeq2x150_LAB02_Father_REP01,lowcomplexity,1.832900e-02
NovaSeq2x150_LAB02_Father_REP01,LTR,4.755174e-03
NovaSeq2x150_LAB02_Father_REP01,satellite,4.450260e-02
NovaSeq2x150_LAB02_Father_REP01,simplerepeat,3.044417e-02
NovaSeq2x150_LAB02_Mother_REP01,Alu,1.013676e-02
NovaSeq2x150_LAB02_Mother_REP01,L1,5.160444e-03
NovaSeq2x150_LAB02_Mother_REP01,L2,5.310407e-03
NovaSeq2x150_LAB02_Mother_REP01,lowcomplexity,1.859009e-02
NovaSeq2x150_LAB02_Mother_REP01,LTR,4.787738e-03
NovaSeq2x150_LAB02_Mother_REP01,satellite,4.615755e-02
NovaSeq2x150_LAB02_Mother_REP01,simplerepeat,3.197932e-02
NovaSeq2x150_LAB02_Son_REP01,Alu,1.144986e-02
NovaSeq2x150_LAB02_Son_REP01,L1,6.183731e-03
NovaSeq2x150_LAB02_Son_REP01,L2,6.515687e-03
NovaSeq2x150_LAB02_Son_REP01,lowcomplexity,2.071876e-02
NovaSeq2x150_LAB02_Son_REP01,LTR,5.785666e-03
NovaSeq2x150_LAB02_Son_REP01,satellite,4.588626e-02
NovaSeq2x150_LAB02_Son_REP01,simplerepeat,3.263552e-02
NovaSeq2x250_LAB02_Father_REP01,Alu,2.266693e-02
NovaSeq2x250_LAB02_Father_REP01,L1,1.244798e-02
NovaSeq2x250_LAB02_Father_REP01,L2,1.476408e-02
NovaSeq2x250_LAB02_Father_REP01,lowcomplexity,3.028648e-02
NovaSeq2x250_LAB02_Father_REP01,LTR,1.264502e-02
NovaSeq2x250_LAB02_Father_REP01,satellite,5.452888e-02
NovaSeq2x250_LAB02_Father_REP01,simplerepeat,4.281680e-02
NovaSeq2x250_LAB02_Mother_REP01,Alu,2.063065e-02
NovaSeq2x250_LAB02_Mother_REP01,L1,1.087418e-02
NovaSeq2x250_LAB02_Mother_REP01,L2,1.273678e-02
NovaSeq2x250_LAB02_Mother_REP01,lowcomplexity,2.734716e-02
NovaSeq2x250_LAB02_Mother_REP01,LTR,1.095904e-02
NovaSeq2x250_LAB02_Mother_REP01,satellite,5.551476e-02
NovaSeq2x250_LAB02_Mother_REP01,simplerepeat,4.175735e-02
NovaSeq2x250_LAB02_Son_REP01,Alu,2.300039e-02
NovaSeq2x250_LAB02_Son_REP01,L1,1.261255e-02
NovaSeq2x250_LAB02_Son_REP01,L2,1.496132e-02
NovaSeq2x250_LAB02_Son_REP01,lowcomplexity,3.063384e-02
NovaSeq2x250_LAB02_Son_REP01,LTR,1.283011e-02
NovaSeq2x250_LAB02_Son_REP01,satellite,5.562264e-02
NovaSeq2x250_LAB02_Son_REP01,simplerepeat,4.335707e-02
Flongle_LAB01_Son1_REP01,Alu,1.395224e-01
Flongle_LAB01_Son1_REP01,L1,1.389860e-01
Flongle_LAB01_Son1_REP01,L2,1.390455e-01
Flongle_LAB01_Son1_REP01,lowcomplexity,1.389235e-01
Flongle_LAB01_Son1_REP01,LTR,1.473766e-01
Flongle_LAB01_Son1_REP01,satellite,1.713403e-01
Flongle_LAB01_Son1_REP01,simplerepeat,1.400648e-01
MinION_LAB01_Son1_REP01,Alu,9.930735e-02
MinION_LAB01_Son1_REP01,L1,9.832621e-02
MinION_LAB01_Son1_REP01,L2,9.888771e-02
MinION_LAB01_Son1_REP01,lowcomplexity,9.881177e-02
MinION_LAB01_Son1_REP01,LTR,9.765861e-02
MinION_LAB01_Son1_REP01,satellite,1.369088e-01
MinION_LAB01_Son1_REP01,simplerepeat,9.976523e-02
PromethION_LAB01_Son_REP01,Alu,1.277847e-01
PromethION_LAB01_Son_REP01,L1,1.279558e-01
PromethION_LAB01_Son_REP01,L2,1.259266e-01
PromethION_LAB01_Son_REP01,lowcomplexity,1.269196e-01
PromethION_LAB01_Son_REP01,LTR,1.200631e-01
PromethION_LAB01_Son_REP01,satellite,2.427557e-01
PromethION_LAB01_Son_REP01,simplerepeat,1.280236e-01
PromethION_LAB02_Son_REP01,Alu,1.141243e-01
PromethION_LAB02_Son_REP01,L1,1.133276e-01
PromethION_LAB02_Son_REP01,L2,1.130226e-01
PromethION_LAB02_Son_REP01,lowcomplexity,1.141796e-01
PromethION_LAB02_Son_REP01,LTR,1.122744e-01
PromethION_LAB02_Son_REP01,satellite,2.323292e-01
PromethION_LAB02_Son_REP01,simplerepeat,1.160471e-01
PromethION_LAB03_Son_REP01,Alu,1.117688e-01
PromethION_LAB03_Son_REP01,L1,1.111212e-01
PromethION_LAB03_Son_REP01,L2,1.110749e-01
PromethION_LAB03_Son_REP01,lowcomplexity,1.118999e-01
PromethION_LAB03_Son_REP01,LTR,1.097076e-01
PromethION_LAB03_Son_REP01,satellite,2.506599e-01
PromethION_LAB03_Son_REP01,simplerepeat,1.137839e-01
PacBio_LAB01_Son1_REP01-10k,Alu,7.372999e-03
PacBio_LAB01_Son1_REP01-10k,L1,7.494490e-03
PacBio_LAB01_Son1_REP01-10k,L2,6.012177e-03
PacBio_LAB01_Son1_REP01-10k,lowcomplexity,7.183077e-03
PacBio_LAB01_Son1_REP01-10k,LTR,5.470668e-03
PacBio_LAB01_Son1_REP01-10k,satellite,1.814021e-01
PacBio_LAB01_Son1_REP01-10k,simplerepeat,8.756125e-03
PacBio_LAB01_Son1_REP01-11k,Alu,8.431668e-03
PacBio_LAB01_Son1_REP01-11k,L1,8.473841e-03
