sampleOverall,sampleIndiv,GC,normcov
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,55,19320524
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,56,17846396
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,57,16308215
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,58,14532109
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,59,12579860
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,60,10626155
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,61,8797127
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,62,7230696
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,63,5932627
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,64,4875799
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,65,3997797
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,66,3257471
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,67,2623528
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,68,2081709
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,69,1646981
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,70,1298236
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,71,1024074
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,72,814293
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,73,656026
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,74,529970
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,75,444209
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,76,373941
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,77,326951
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,78,285843
