context,sample,errorRate
L1,HiSeq4000_LAB03_Father_REP01,8.097020e-03
L1,HiSeq4000_LAB03_Mother_REP01,8.199397e-03
L1,HiSeq4000_LAB03_Son_REP01,8.289911e-03
L1,HiSeq4000_LAB03_Son_REP02,8.027174e-03
L1,HiSeq4000_LAB03_Son_REP03,8.801563e-03
L1,HiSeqX10_LAB01_Father_REP01,8.295370e-03
L1,HiSeqX10_LAB01_Mother_REP01,8.120419e-03
L1,HiSeqX10_LAB01_Son_REP01,7.493764e-03
L1,HiSeqX10_LAB01_Son_REP02,7.511786e-03
L1,HiSeqX10_LAB01_Son_REP03,6.972214e-03
L1,HiSeqX10_LAB02_Father_REP01,6.254137e-03
L1,HiSeqX10_LAB02_Mother_REP01,8.060236e-03
L1,HiSeqX10_LAB02_Son_REP01,6.640599e-03
L1,HiSeqX10_LAB02_Son_REP02,6.176405e-03
L1,HiSeqX10_LAB02_Son_REP03,6.795971e-03
L1,MGISEQ2000_LAB01_Father_REP01,9.776854e-03
L1,MGISEQ2000_LAB01_Mother_REP01,1.017068e-02
L1,MGISEQ2000_LAB01_Mother_REP02,1.277990e-02
L1,MGISEQ2000_LAB01_Son_REP01,8.494237e-03
L1,NovaSeq2x150_LAB01_Father_REP01,5.233858e-03
L1,NovaSeq2x150_LAB01_Mother_REP01,5.535050e-03
L1,NovaSeq2x150_LAB01_Son_REP01,5.409340e-03
L1,NovaSeq2x150_LAB02_Father_REP01,5.096222e-03
L1,NovaSeq2x150_LAB02_Mother_REP01,5.160444e-03
L1,NovaSeq2x150_LAB02_Son_REP01,6.183731e-03
L1,NovaSeq2x250_LAB02_Father_REP01,1.244798e-02
L1,NovaSeq2x250_LAB02_Mother_REP01,1.087418e-02
L1,NovaSeq2x250_LAB02_Son_REP01,1.261255e-02
L1,PacBio_LAB01_Son_REP01-10kb,1.424644e+01
L1,PacBio_LAB02_Son_REP01-11kb,1.349473e+01
L1,PacBio_LAB03_Son_REP01-15kb20kb,1.520994e+01
L1,PromethION_LAB01_Son_REP01,3.948387e+01
L1,PromethION_LAB02_Son_REP01,3.931112e+01
L1,PromethION_LAB03_Son_REP01,1.786695e+01
L2,BGISEQ500_LAB01_Father_REP01,4.914346e-03
L2,BGISEQ500_LAB01_Mother_REP01,7.070587e-03
L2,BGISEQ500_LAB01_Son_REP01,6.645704e-03
L2,Genapsys_LAB01_Son_REP01,4.547757e-02
L2,HiSeq2500_LAB01_Father_REP01,9.544296e-03
L2,HiSeq2500_LAB01_Mother_REP01,1.022734e-02
L2,HiSeq2500_LAB01_Son_REP01,8.827787e-03
L2,HiSeq2500_LAB01_Son_REP02,9.774731e-03
L2,HiSeq2500_LAB01_Son_REP03,9.679989e-03
L2,HiSeq2500_LAB02_Father_REP01,6.340086e-03
L2,HiSeq2500_LAB02_Mother_REP01,6.813100e-03
L2,HiSeq2500_LAB02_Son_REP01,5.979930e-03
L2,HiSeq2500_LAB02_Son_REP02,6.446009e-03
L2,HiSeq2500_LAB03_Father_REP01,4.627395e-03
L2,HiSeq2500_LAB03_Mother_REP01,4.989384e-03
L2,HiSeq2500_LAB03_Son_REP02,4.980941e-03
L2,HiSeq2500_LAB03_Son_REP03,4.603363e-03
L2,HiSeq4000_LAB01_Father_REP01,8.321966e-03
L2,HiSeq4000_LAB01_Mother_REP01,8.807778e-03
L2,HiSeq4000_LAB01_Son_REP02,9.832639e-03
L2,HiSeq4000_LAB01_Son_REP03,9.222932e-03
L2,HiSeq4000_LAB02_Father_REP01,8.228744e-03
L2,HiSeq4000_LAB02_Mother_REP01,8.075091e-03
L2,HiSeq4000_LAB02_Son_REP01,6.887230e-03
L2,HiSeq4000_LAB02_Son_REP02,7.672018e-03
L2,HiSeq4000_LAB02_Son_REP03,8.022971e-03
L2,HiSeq4000_LAB03_Father_REP01,9.086620e-03
L2,HiSeq4000_LAB03_Mother_REP01,9.252676e-03
L2,HiSeq4000_LAB03_Son_REP01,9.113721e-03
L2,HiSeq4000_LAB03_Son_REP02,9.021389e-03
L2,HiSeq4000_LAB03_Son_REP03,9.916611e-03
L2,HiSeqX10_LAB01_Father_REP01,9.944255e-03
L2,HiSeqX10_LAB01_Mother_REP01,9.931643e-03
L2,HiSeqX10_LAB01_Son_REP01,9.066525e-03
L2,HiSeqX10_LAB01_Son_REP02,9.273850e-03
L2,HiSeqX10_LAB01_Son_REP03,8.132029e-03
L2,HiSeqX10_LAB02_Father_REP01,7.490369e-03
L2,HiSeqX10_LAB02_Mother_REP01,9.798588e-03
L2,HiSeqX10_LAB02_Son_REP01,7.845113e-03
L2,HiSeqX10_LAB02_Son_REP02,7.395672e-03
L2,HiSeqX10_LAB02_Son_REP03,8.086329e-03
L2,MGISEQ2000_LAB01_Father_REP01,1.289854e-02
L2,MGISEQ2000_LAB01_Mother_REP01,1.316699e-02
L2,MGISEQ2000_LAB01_Mother_REP02,1.705582e-02
L2,MGISEQ2000_LAB01_Son_REP01,1.118843e-02
L2,NovaSeq2x150_LAB01_Father_REP01,5.598655e-03
L2,NovaSeq2x150_LAB01_Mother_REP01,5.947536e-03
L2,NovaSeq2x150_LAB01_Son_REP01,5.832356e-03
L2,NovaSeq2x150_LAB02_Father_REP01,5.250457e-03
L2,NovaSeq2x150_LAB02_Mother_REP01,5.310407e-03
L2,NovaSeq2x150_LAB02_Son_REP01,6.515687e-03
L2,NovaSeq2x250_LAB02_Father_REP01,1.476408e-02
L2,NovaSeq2x250_LAB02_Mother_REP01,1.273678e-02
L2,NovaSeq2x250_LAB02_Son_REP01,1.496132e-02
L2,PacBio_LAB02_Son_REP01-11kb,4.902042e+01
L2,PacBio_LAB03_Son_REP01-15kb20kb,5.753193e+01
L2,PromethION_LAB01_Son_REP01,1.690450e+02
L2,PromethION_LAB02_Son_REP01,1.686185e+02
L2,PromethION_LAB03_Son_REP01,6.881181e+01
lowcomplexity,BGISEQ500_LAB01_Father_REP01,1.241927e-02
lowcomplexity,BGISEQ500_LAB01_Mother_REP01,1.648844e-02
lowcomplexity,BGISEQ500_LAB01_Son_REP01,1.544265e-02
lowcomplexity,Genapsys_LAB01_Son_REP01,1.108841e-01
lowcomplexity,HiSeq2500_LAB01_Father_REP01,2.454548e-02
lowcomplexity,HiSeq2500_LAB01_Mother_REP01,2.579031e-02
lowcomplexity,HiSeq2500_LAB01_Son_REP01,2.383559e-02
lowcomplexity,HiSeq2500_LAB01_Son_REP02,2.481226e-02
lowcomplexity,HiSeq2500_LAB01_Son_REP03,2.510772e-02
lowcomplexity,HiSeq2500_LAB02_Father_REP01,1.809650e-02
lowcomplexity,HiSeq2500_LAB02_Mother_REP01,1.900314e-02
lowcomplexity,HiSeq2500_LAB02_Son_REP01,1.754474e-02
lowcomplexity,HiSeq2500_LAB02_Son_REP02,1.805616e-02
lowcomplexity,HiSeq2500_LAB03_Father_REP01,1.524951e-02
lowcomplexity,HiSeq2500_LAB03_Mother_REP01,1.611480e-02
lowcomplexity,HiSeq2500_LAB03_Son_REP02,1.572307e-02
lowcomplexity,HiSeq2500_LAB03_Son_REP03,1.545389e-02
lowcomplexity,HiSeq4000_LAB01_Father_REP01,2.361498e-02
lowcomplexity,HiSeq4000_LAB01_Mother_REP01,2.405147e-02
lowcomplexity,HiSeq4000_LAB01_Son_REP02,2.642376e-02
lowcomplexity,HiSeq4000_LAB01_Son_REP03,2.586275e-02
lowcomplexity,HiSeq4000_LAB02_Father_REP01,2.262491e-02
lowcomplexity,HiSeq4000_LAB02_Mother_REP01,2.245238e-02
lowcomplexity,HiSeq4000_LAB02_Son_REP01,2.095869e-02
lowcomplexity,HiSeq4000_LAB02_Son_REP02,2.151293e-02
lowcomplexity,HiSeq4000_LAB02_Son_REP03,2.245442e-02
lowcomplexity,HiSeq4000_LAB03_Father_REP01,2.454220e-02
lowcomplexity,HiSeq4000_LAB03_Mother_REP01,2.519565e-02
lowcomplexity,HiSeq4000_LAB03_Son_REP01,2.521906e-02
lowcomplexity,HiSeq4000_LAB03_Son_REP02,2.459590e-02
lowcomplexity,HiSeq4000_LAB03_Son_REP03,2.587206e-02
lowcomplexity,HiSeqX10_LAB01_Father_REP01,2.485885e-02
lowcomplexity,HiSeqX10_LAB01_Mother_REP01,2.501731e-02
lowcomplexity,HiSeqX10_LAB01_Son_REP01,2.335793e-02
lowcomplexity,HiSeqX10_LAB01_Son_REP02,2.350877e-02
lowcomplexity,HiSeqX10_LAB01_Son_REP03,2.264971e-02
lowcomplexity,HiSeqX10_LAB02_Father_REP01,2.025393e-02
lowcomplexity,HiSeqX10_LAB02_Mother_REP01,2.386668e-02
lowcomplexity,HiSeqX10_LAB02_Son_REP01,2.105048e-02
lowcomplexity,HiSeqX10_LAB02_Son_REP02,2.029930e-02
lowcomplexity,HiSeqX10_LAB02_Son_REP03,2.115822e-02
lowcomplexity,MGISEQ2000_LAB01_Father_REP01,2.577747e-02
lowcomplexity,MGISEQ2000_LAB01_Mother_REP01,2.634305e-02
lowcomplexity,MGISEQ2000_LAB01_Mother_REP02,3.213043e-02
lowcomplexity,MGISEQ2000_LAB01_Son_REP01,2.312775e-02
lowcomplexity,NovaSeq2x150_LAB01_Father_REP01,1.787956e-02
lowcomplexity,NovaSeq2x150_LAB01_Mother_REP01,1.854424e-02
lowcomplexity,NovaSeq2x150_LAB01_Son_REP01,1.830245e-02
lowcomplexity,NovaSeq2x150_LAB02_Father_REP01,1.832900e-02
lowcomplexity,NovaSeq2x150_LAB02_Mother_REP01,1.859009e-02
lowcomplexity,NovaSeq2x150_LAB02_Son_REP01,2.071876e-02
lowcomplexity,NovaSeq2x250_LAB02_Father_REP01,3.028648e-02
lowcomplexity,NovaSeq2x250_LAB02_Mother_REP01,2.734716e-02
lowcomplexity,NovaSeq2x250_LAB02_Son_REP01,3.063384e-02
lowcomplexity,PacBio_LAB01_Son_REP01-10kb,2.488778e+02
lowcomplexity,PacBio_LAB02_Son_REP01-11kb,2.792300e+02
lowcomplexity,PacBio_LAB03_Son_REP01-15kb20kb,3.390555e+02
lowcomplexity,PromethION_LAB01_Son_REP01,1.604152e+03
lowcomplexity,PromethION_LAB02_Son_REP01,1.609604e+03
lowcomplexity,PromethION_LAB03_Son_REP01,5.180682e+02
LTR,BGISEQ500_LAB01_Father_REP01,4.543036e-03
LTR,BGISEQ500_LAB01_Mother_REP01,6.392427e-03
LTR,BGISEQ500_LAB01_Son_REP01,6.112840e-03
LTR,Genapsys_LAB01_Son_REP01,3.949433e-02
LTR,HiSeq2500_LAB01_Father_REP01,8.544822e-03
LTR,HiSeq2500_LAB01_Mother_REP01,9.111348e-03
LTR,HiSeq2500_LAB01_Son_REP01,7.886514e-03
LTR,HiSeq2500_LAB01_Son_REP02,8.760110e-03
LTR,HiSeq2500_LAB01_Son_REP03,8.618043e-03
LTR,HiSeq2500_LAB02_Father_REP01,5.810342e-03
LTR,HiSeq2500_LAB02_Mother_REP01,6.213613e-03
LTR,HiSeq2500_LAB02_Son_REP01,5.477767e-03
LTR,HiSeq2500_LAB02_Son_REP02,5.913824e-03
LTR,HiSeq2500_LAB03_Father_REP01,4.383982e-03
LTR,HiSeq2500_LAB03_Mother_REP01,4.701757e-03
LTR,HiSeq2500_LAB03_Son_REP02,4.707848e-03
LTR,HiSeq2500_LAB03_Son_REP03,4.356713e-03
LTR,HiSeq4000_LAB01_Father_REP01,7.336533e-03
LTR,HiSeq4000_LAB01_Mother_REP01,7.705519e-03
LTR,HiSeq4000_LAB01_Son_REP02,8.623803e-03
LTR,HiSeq4000_LAB01_Son_REP03,8.031357e-03
LTR,HiSeq4000_LAB02_Father_REP01,7.297887e-03
LTR,HiSeq4000_LAB02_Mother_REP01,7.139377e-03
LTR,HiSeq4000_LAB02_Son_REP01,6.136661e-03
LTR,HiSeq4000_LAB02_Son_REP02,6.840298e-03
LTR,HiSeq4000_LAB02_Son_REP03,7.100304e-03
LTR,HiSeq4000_LAB03_Father_REP01,7.980964e-03
LTR,HiSeq4000_LAB03_Mother_REP01,8.087139e-03
LTR,HiSeq4000_LAB03_Son_REP01,7.955519e-03
LTR,HiSeq4000_LAB03_Son_REP02,7.937361e-03
LTR,HiSeq4000_LAB03_Son_REP03,8.655885e-03
LTR,HiSeqX10_LAB01_Father_REP01,8.790054e-03
LTR,HiSeqX10_LAB01_Mother_REP01,8.750323e-03
LTR,HiSeqX10_LAB01_Son_REP01,8.054445e-03
LTR,HiSeqX10_LAB01_Son_REP02,8.270461e-03
LTR,HiSeqX10_LAB01_Son_REP03,7.228838e-03
LTR,HiSeqX10_LAB02_Father_REP01,6.690012e-03
LTR,HiSeqX10_LAB02_Mother_REP01,8.608471e-03
LTR,HiSeqX10_LAB02_Son_REP01,6.988952e-03
LTR,HiSeqX10_LAB02_Son_REP02,6.632277e-03
LTR,HiSeqX10_LAB02_Son_REP03,7.176563e-03
LTR,MGISEQ2000_LAB01_Father_REP01,1.108817e-02
LTR,MGISEQ2000_LAB01_Mother_REP01,1.130428e-02
LTR,MGISEQ2000_LAB01_Mother_REP02,1.455762e-02
LTR,MGISEQ2000_LAB01_Son_REP01,9.652077e-03
LTR,NovaSeq2x150_LAB01_Father_REP01,5.048366e-03
LTR,NovaSeq2x150_LAB01_Mother_REP01,5.314503e-03
LTR,NovaSeq2x150_LAB01_Son_REP01,5.235925e-03
LTR,NovaSeq2x150_LAB02_Father_REP01,4.755174e-03
LTR,NovaSeq2x150_LAB02_Mother_REP01,4.787738e-03
LTR,NovaSeq2x150_LAB02_Son_REP01,5.785666e-03
LTR,NovaSeq2x250_LAB02_Father_REP01,1.264502e-02
LTR,NovaSeq2x250_LAB02_Mother_REP01,1.095904e-02
LTR,NovaSeq2x250_LAB02_Son_REP01,1.283011e-02
LTR,PacBio_LAB01_Son_REP01-10kb,2.410950e+01
LTR,PacBio_LAB02_Son_REP01-11kb,2.318449e+01
LTR,PacBio_LAB03_Son_REP01-15kb20kb,2.634966e+01
LTR,PromethION_LAB01_Son_REP01,7.751788e+01
LTR,PromethION_LAB02_Son_REP01,7.722039e+01
LTR,PromethION_LAB03_Son_REP01,3.240382e+01
satellite,BGISEQ500_LAB01_Father_REP01,3.643535e-02
satellite,BGISEQ500_LAB01_Mother_REP01,3.783301e-02
satellite,BGISEQ500_LAB01_Son_REP01,3.765441e-02
satellite,Genapsys_LAB01_Son_REP01,4.389296e-02
satellite,HiSeq2500_LAB01_Father_REP01,4.316783e-02
satellite,HiSeq2500_LAB01_Mother_REP01,4.484661e-02
satellite,HiSeq2500_LAB01_Son_REP01,4.322233e-02
satellite,HiSeq2500_LAB01_Son_REP02,4.419445e-02
satellite,HiSeq2500_LAB01_Son_REP03,4.391517e-02
satellite,HiSeq2500_LAB02_Father_REP01,4.221568e-02
satellite,HiSeq2500_LAB02_Mother_REP01,4.392682e-02
satellite,HiSeq2500_LAB02_Son_REP01,4.263292e-02
satellite,HiSeq2500_LAB02_Son_REP02,4.359477e-02
satellite,HiSeq2500_LAB03_Father_REP01,3.847670e-02
satellite,HiSeq2500_LAB03_Mother_REP01,4.025761e-02
satellite,HiSeq2500_LAB03_Son_REP02,3.999661e-02
satellite,HiSeq2500_LAB03_Son_REP03,3.885855e-02
satellite,HiSeq4000_LAB01_Father_REP01,4.597792e-02
satellite,HiSeq4000_LAB01_Mother_REP01,4.786783e-02
satellite,HiSeq4000_LAB01_Son_REP02,4.676359e-02
satellite,HiSeq4000_LAB01_Son_REP03,4.535013e-02
satellite,HiSeq4000_LAB02_Father_REP01,4.498929e-02
satellite,HiSeq4000_LAB02_Mother_REP01,4.653712e-02
satellite,HiSeq4000_LAB02_Son_REP01,4.449904e-02
satellite,HiSeq4000_LAB02_Son_REP02,4.583661e-02
satellite,HiSeq4000_LAB02_Son_REP03,4.568940e-02
satellite,HiSeq4000_LAB03_Father_REP01,4.603107e-02
satellite,HiSeq4000_LAB03_Mother_REP01,4.685200e-02
satellite,HiSeq4000_LAB03_Son_REP01,4.546746e-02
satellite,HiSeq4000_LAB03_Son_REP02,4.656358e-02
satellite,HiSeq4000_LAB03_Son_REP03,4.690201e-02
satellite,HiSeqX10_LAB01_Father_REP01,4.591055e-02
satellite,HiSeqX10_LAB01_Mother_REP01,4.805578e-02
satellite,HiSeqX10_LAB01_Son_REP01,4.684261e-02
satellite,HiSeqX10_LAB01_Son_REP02,4.749043e-02
satellite,HiSeqX10_LAB01_Son_REP03,4.581233e-02
satellite,HiSeqX10_LAB02_Father_REP01,4.543668e-02
satellite,HiSeqX10_LAB02_Mother_REP01,4.744507e-02
satellite,HiSeqX10_LAB02_Son_REP01,4.601511e-02
satellite,HiSeqX10_LAB02_Son_REP02,4.605722e-02
satellite,HiSeqX10_LAB02_Son_REP03,4.651274e-02
satellite,MGISEQ2000_LAB01_Father_REP01,4.462394e-02
satellite,MGISEQ2000_LAB01_Mother_REP01,4.580493e-02
satellite,MGISEQ2000_LAB01_Mother_REP02,4.791098e-02
satellite,MGISEQ2000_LAB01_Son_REP01,4.520928e-02
satellite,NovaSeq2x150_LAB01_Father_REP01,4.550019e-02
satellite,NovaSeq2x150_LAB01_Mother_REP01,4.752839e-02
satellite,NovaSeq2x150_LAB01_Son_REP01,4.633647e-02
satellite,NovaSeq2x150_LAB02_Father_REP01,4.450260e-02
satellite,NovaSeq2x150_LAB02_Mother_REP01,4.615755e-02
satellite,NovaSeq2x150_LAB02_Son_REP01,4.588626e-02
satellite,NovaSeq2x250_LAB02_Father_REP01,5.452888e-02
satellite,NovaSeq2x250_LAB02_Mother_REP01,5.551476e-02
satellite,NovaSeq2x250_LAB02_Son_REP01,5.562264e-02
satellite,PacBio_LAB01_Son_REP01-10kb,6.470135e+00
satellite,PacBio_LAB02_Son_REP01-11kb,5.482606e+00
satellite,PacBio_LAB03_Son_REP01-15kb20kb,5.256822e+00
satellite,PromethION_LAB01_Son_REP01,5.773164e+00
satellite,PromethION_LAB02_Son_REP01,8.907294e+00
satellite,PromethION_LAB03_Son_REP01,5.417933e+00
