sample,taxon,num,pct
MiSeq_LAB01_Pool_REP01,P_haloplanktis,94548389,6.27
PGM_LAB03_Pool_REP02,B_subtilis,40026104,7.844
PGM_LAB03_Pool_REP02,C_violaceum,77361339,15.161
PGM_LAB03_Pool_REP02,E_faecalis,21582577,4.23
PGM_LAB03_Pool_REP02,E_coli,83674872,16.399
PGM_LAB03_Pool_REP02,H_halophilus,34945416,6.849
PGM_LAB03_Pool_REP02,H_volcanii,43958738,8.615
PGM_LAB03_Pool_REP02,M_luteus,28266515,5.54
PGM_LAB03_Pool_REP02,P_fluorescens,145442778,28.504
PGM_LAB03_Pool_REP02,S_epidermidis,11778308,2.308
PGM_LAB03_Pool_REP02,P_haloplanktis,23211974,4.549
S5_LAB02_Pool_REP02,B_subtilis,517325178,12.974
S5_LAB02_Pool_REP02,C_violaceum,422424243,10.594
S5_LAB02_Pool_REP02,E_faecalis,389589601,9.771
S5_LAB02_Pool_REP02,E_coli,576980707,14.47
S5_LAB02_Pool_REP02,H_halophilus,522239583,13.098
S5_LAB02_Pool_REP02,H_volcanii,213688322,5.359
S5_LAB02_Pool_REP02,M_luteus,88045986,2.208
S5_LAB02_Pool_REP02,P_fluorescens,607222686,15.229
S5_LAB02_Pool_REP02,S_epidermidis,212895642,5.339
S5_LAB02_Pool_REP02,P_haloplanktis,436881566,10.957
S5_LAB01_Pool_REP01,B_subtilis,894069868,14.268
S5_LAB01_Pool_REP01,C_violaceum,506879115,8.089
S5_LAB01_Pool_REP01,E_faecalis,713881935,11.392
S5_LAB01_Pool_REP01,E_coli,846171957,13.503
S5_LAB01_Pool_REP01,H_halophilus,921305381,14.702
S5_LAB01_Pool_REP01,H_volcanii,235891976,3.764
S5_LAB01_Pool_REP01,M_luteus,83412973,1.331
S5_LAB01_Pool_REP01,P_fluorescens,846160778,13.503
S5_LAB01_Pool_REP01,S_epidermidis,558990573,8.92
S5_LAB01_Pool_REP01,P_haloplanktis,659664144,10.527
Flongle_LAB01_Pool_REP01,B_subtilis,9119638,17.031
Flongle_LAB01_Pool_REP01,C_violaceum,7396564,13.813
Flongle_LAB01_Pool_REP01,E_faecalis,3579179,6.684
Flongle_LAB01_Pool_REP01,E_coli,4754486,8.879
Flongle_LAB01_Pool_REP01,H_halophilus,5470999,10.217
Flongle_LAB01_Pool_REP01,H_volcanii,1421074,2.654
Flongle_LAB01_Pool_REP01,M_luteus,3782177,7.063
Flongle_LAB01_Pool_REP01,P_fluorescens,12658497,23.639
Flongle_LAB01_Pool_REP01,S_epidermidis,2187681,4.085
Flongle_LAB01_Pool_REP01,P_haloplanktis,3178504,5.936
S5_LAB03_Pool_REP02,B_subtilis,858049267,13.702
S5_LAB03_Pool_REP02,C_violaceum,590306516,9.427
S5_LAB03_Pool_REP02,E_faecalis,616202673,9.84
S5_LAB03_Pool_REP02,E_coli,894099499,14.278
S5_LAB03_Pool_REP02,H_halophilus,904291648,14.441
S5_LAB03_Pool_REP02,H_volcanii,283847996,4.533
S5_LAB03_Pool_REP02,M_luteus,117697755,1.88
S5_LAB03_Pool_REP02,P_fluorescens,866495484,13.837
S5_LAB03_Pool_REP02,S_epidermidis,431594339,6.892
S5_LAB03_Pool_REP02,P_haloplanktis,699538376,11.171
S5_LAB01_Pool_REP03,B_subtilis,987758625,14.967
S5_LAB01_Pool_REP03,C_violaceum,475021630,7.198
S5_LAB01_Pool_REP03,E_faecalis,783049407,11.865
S5_LAB01_Pool_REP03,E_coli,875928322,13.272
S5_LAB01_Pool_REP03,H_halophilus,1009151172,15.291
S5_LAB01_Pool_REP03,H_volcanii,209933198,3.181
S5_LAB01_Pool_REP03,M_luteus,68236334,1.034
S5_LAB01_Pool_REP03,P_fluorescens,872848703,13.225
S5_LAB01_Pool_REP03,S_epidermidis,604463465,9.159
S5_LAB01_Pool_REP03,P_haloplanktis,713380520,10.809
S5_LAB02_Pool_REP03,B_subtilis,582871154,13.057
S5_LAB02_Pool_REP03,C_violaceum,481211545,10.78
S5_LAB02_Pool_REP03,E_faecalis,415037424,9.298
S5_LAB02_Pool_REP03,E_coli,630848358,14.132
S5_LAB02_Pool_REP03,H_halophilus,599214612,13.424
S5_LAB02_Pool_REP03,H_volcanii,243535676,5.456
S5_LAB02_Pool_REP03,M_luteus,106609019,2.388
S5_LAB02_Pool_REP03,P_fluorescens,668809411,14.983
S5_LAB02_Pool_REP03,S_epidermidis,252971474,5.667
S5_LAB02_Pool_REP03,P_haloplanktis,482771861,10.815
Genapsys_LAB01_Pool_REP01,B_subtilis,156068198,16.112
Genapsys_LAB01_Pool_REP01,C_violaceum,93884664,9.692
Genapsys_LAB01_Pool_REP01,E_faecalis,94608010,9.767
Genapsys_LAB01_Pool_REP01,E_coli,121843612,12.578
Genapsys_LAB01_Pool_REP01,H_halophilus,128424277,13.258
Genapsys_LAB01_Pool_REP01,H_volcanii,35551594,3.67
Genapsys_LAB01_Pool_REP01,M_luteus,34442416,3.556
Genapsys_LAB01_Pool_REP01,P_fluorescens,170986390,17.652
Genapsys_LAB01_Pool_REP01,S_epidermidis,71369160,7.368
Genapsys_LAB01_Pool_REP01,P_haloplanktis,61495319,6.348
PGM_LAB03_Pool_REP01,B_subtilis,46579961,5.758
PGM_LAB03_Pool_REP01,C_violaceum,151205035,18.692
PGM_LAB03_Pool_REP01,E_faecalis,23055857,2.85
PGM_LAB03_Pool_REP01,E_coli,110759683,13.692
PGM_LAB03_Pool_REP01,H_halophilus,39130392,4.837
PGM_LAB03_Pool_REP01,H_volcanii,88823232,10.98
PGM_LAB03_Pool_REP01,M_luteus,63913730,7.901
PGM_LAB03_Pool_REP01,P_fluorescens,247124781,30.55
PGM_LAB03_Pool_REP01,S_epidermidis,11976608,1.481
PGM_LAB03_Pool_REP01,P_haloplanktis,26356604,3.258
PGM_LAB01_Pool_REP01,B_subtilis,204342016,14.522
PGM_LAB01_Pool_REP01,C_violaceum,93734583,6.661
PGM_LAB01_Pool_REP01,E_faecalis,149183214,10.602
PGM_LAB01_Pool_REP01,E_coli,223217277,15.863
PGM_LAB01_Pool_REP01,H_halophilus,200312415,14.235
PGM_LAB01_Pool_REP01,H_volcanii,47320737,3.363
PGM_LAB01_Pool_REP01,M_luteus,16995442,1.208
PGM_LAB01_Pool_REP01,P_fluorescens,212813862,15.124
PGM_LAB01_Pool_REP01,S_epidermidis,118833645,8.445
PGM_LAB01_Pool_REP01,P_haloplanktis,140414015,9.978
