sample,varType,context,count
HiSeq2500_LAB01_Son_REP01,SNPs,satellite,2555
HiSeq2500_LAB01_Son_REP01,SNPs,simplerepeat,34000
HiSeq2500_LAB01_Son_REP02,nonSNPs,Alu,92624
HiSeq2500_LAB01_Son_REP02,nonSNPs,L1,80431
HiSeq2500_LAB01_Son_REP02,nonSNPs,L2,10819
HiSeq2500_LAB01_Son_REP02,nonSNPs,lowcomplexity,4236
HiSeq2500_LAB01_Son_REP02,nonSNPs,LTR,28481
HiSeq2500_LAB01_Son_REP02,nonSNPs,satellite,246
HiSeq2500_LAB01_Son_REP02,nonSNPs,simplerepeat,71329
HiSeq2500_LAB01_Son_REP02,SNPs,Alu,421365
HiSeq2500_LAB01_Son_REP02,SNPs,L1,619589
HiSeq2500_LAB01_Son_REP02,SNPs,L2,115235
HiSeq2500_LAB01_Son_REP02,SNPs,lowcomplexity,5043
HiSeq2500_LAB01_Son_REP02,SNPs,LTR,340732
HiSeq2500_LAB01_Son_REP02,SNPs,satellite,2563
HiSeq2500_LAB01_Son_REP02,SNPs,simplerepeat,33987
HiSeq2500_LAB01_Son_REP03,nonSNPs,Alu,92809
HiSeq2500_LAB01_Son_REP03,nonSNPs,L1,80318
HiSeq2500_LAB01_Son_REP03,nonSNPs,L2,10866
HiSeq2500_LAB01_Son_REP03,nonSNPs,lowcomplexity,4240
HiSeq2500_LAB01_Son_REP03,nonSNPs,LTR,28519
HiSeq2500_LAB01_Son_REP03,nonSNPs,satellite,246
HiSeq2500_LAB01_Son_REP03,nonSNPs,simplerepeat,71306
HiSeq2500_LAB01_Son_REP03,SNPs,Alu,421794
HiSeq2500_LAB01_Son_REP03,SNPs,L1,619932
HiSeq2500_LAB01_Son_REP03,SNPs,L2,115264
HiSeq2500_LAB01_Son_REP03,SNPs,lowcomplexity,5046
HiSeq2500_LAB01_Son_REP03,SNPs,LTR,340961
HiSeq2500_LAB01_Son_REP03,SNPs,satellite,2563
HiSeq2500_LAB01_Son_REP03,SNPs,simplerepeat,34010
HiSeq2500_LAB02_Father_REP01,nonSNPs,Alu,88919
HiSeq2500_LAB02_Father_REP01,nonSNPs,L1,78415
HiSeq2500_LAB02_Father_REP01,nonSNPs,L2,10573
HiSeq2500_LAB02_Father_REP01,nonSNPs,lowcomplexity,3756
HiSeq2500_LAB02_Father_REP01,nonSNPs,LTR,27744
HiSeq2500_LAB02_Father_REP01,nonSNPs,satellite,140
HiSeq2500_LAB02_Father_REP01,nonSNPs,simplerepeat,65257
HiSeq2500_LAB02_Father_REP01,SNPs,Alu,413533
HiSeq2500_LAB02_Father_REP01,SNPs,L1,614012
HiSeq2500_LAB02_Father_REP01,SNPs,L2,114861
HiSeq2500_LAB02_Father_REP01,SNPs,lowcomplexity,4637
HiSeq2500_LAB02_Father_REP01,SNPs,LTR,335803
HiSeq2500_LAB02_Father_REP01,SNPs,satellite,1861
HiSeq2500_LAB02_Father_REP01,SNPs,simplerepeat,30802
HiSeq2500_LAB02_Mother_REP01,nonSNPs,Alu,89598
HiSeq2500_LAB02_Mother_REP01,nonSNPs,L1,79139
HiSeq2500_LAB02_Mother_REP01,nonSNPs,L2,10739
HiSeq2500_LAB02_Mother_REP01,nonSNPs,lowcomplexity,3682
HiSeq2500_LAB02_Mother_REP01,nonSNPs,LTR,28053
HiSeq2500_LAB02_Mother_REP01,nonSNPs,satellite,147
HiSeq2500_LAB02_Mother_REP01,nonSNPs,simplerepeat,65484
HiSeq2500_LAB02_Mother_REP01,SNPs,Alu,413264
HiSeq2500_LAB02_Mother_REP01,SNPs,L1,620824
HiSeq2500_LAB02_Mother_REP01,SNPs,L2,115807
HiSeq2500_LAB02_Mother_REP01,SNPs,lowcomplexity,4596
HiSeq2500_LAB02_Mother_REP01,SNPs,LTR,339635
HiSeq2500_LAB02_Mother_REP01,SNPs,satellite,1860
HiSeq2500_LAB02_Mother_REP01,SNPs,simplerepeat,30756
HiSeq2500_LAB02_Son_REP01,nonSNPs,Alu,92403
HiSeq2500_LAB02_Son_REP01,nonSNPs,L1,80487
HiSeq2500_LAB02_Son_REP01,nonSNPs,L2,10871
HiSeq2500_LAB02_Son_REP01,nonSNPs,lowcomplexity,4294
HiSeq2500_LAB02_Son_REP01,nonSNPs,LTR,28473
HiSeq2500_LAB02_Son_REP01,nonSNPs,satellite,247
HiSeq2500_LAB02_Son_REP01,nonSNPs,simplerepeat,72355
HiSeq2500_LAB02_Son_REP01,SNPs,Alu,421071
HiSeq2500_LAB02_Son_REP01,SNPs,L1,618655
HiSeq2500_LAB02_Son_REP01,SNPs,L2,115228
HiSeq2500_LAB02_Son_REP01,SNPs,lowcomplexity,5047
HiSeq2500_LAB02_Son_REP01,SNPs,LTR,340724
HiSeq2500_LAB02_Son_REP01,SNPs,satellite,2563
HiSeq2500_LAB02_Son_REP01,SNPs,simplerepeat,34089
HiSeq2500_LAB02_Son_REP02,nonSNPs,Alu,92505
HiSeq2500_LAB02_Son_REP02,nonSNPs,L1,80639
HiSeq2500_LAB02_Son_REP02,nonSNPs,L2,10861
HiSeq2500_LAB02_Son_REP02,nonSNPs,lowcomplexity,4274
HiSeq2500_LAB02_Son_REP02,nonSNPs,LTR,28542
HiSeq2500_LAB02_Son_REP02,nonSNPs,satellite,249
HiSeq2500_LAB02_Son_REP02,nonSNPs,simplerepeat,72314
HiSeq2500_LAB02_Son_REP02,SNPs,Alu,420569
HiSeq2500_LAB02_Son_REP02,SNPs,L1,619398
HiSeq2500_LAB02_Son_REP02,SNPs,L2,115210
HiSeq2500_LAB02_Son_REP02,SNPs,lowcomplexity,5032
HiSeq2500_LAB02_Son_REP02,SNPs,LTR,340644
HiSeq2500_LAB02_Son_REP02,SNPs,satellite,2556
HiSeq2500_LAB02_Son_REP02,SNPs,simplerepeat,34066
HiSeq2500_LAB02_Son_REP03,nonSNPs,Alu,81717
HiSeq2500_LAB02_Son_REP03,nonSNPs,L1,77313
HiSeq2500_LAB02_Son_REP03,nonSNPs,L2,10514
HiSeq2500_LAB02_Son_REP03,nonSNPs,lowcomplexity,3981
HiSeq2500_LAB02_Son_REP03,nonSNPs,LTR,27492
HiSeq2500_LAB02_Son_REP03,nonSNPs,satellite,236
HiSeq2500_LAB02_Son_REP03,nonSNPs,simplerepeat,65421
HiSeq2500_LAB02_Son_REP03,SNPs,Alu,415076
HiSeq2500_LAB02_Son_REP03,SNPs,L1,612498
HiSeq2500_LAB02_Son_REP03,SNPs,L2,114792
HiSeq2500_LAB02_Son_REP03,SNPs,lowcomplexity,4987
HiSeq2500_LAB02_Son_REP03,SNPs,LTR,339009
HiSeq2500_LAB02_Son_REP03,SNPs,satellite,2542
HiSeq2500_LAB02_Son_REP03,SNPs,simplerepeat,33586
HiSeq2500_LAB03_Father_REP01,nonSNPs,Alu,92334
HiSeq2500_LAB03_Father_REP01,nonSNPs,L1,78187
HiSeq2500_LAB03_Father_REP01,nonSNPs,L2,10514
HiSeq2500_LAB03_Father_REP01,nonSNPs,lowcomplexity,3727
HiSeq2500_LAB03_Father_REP01,nonSNPs,LTR,27615
HiSeq2500_LAB03_Father_REP01,nonSNPs,satellite,138
HiSeq2500_LAB03_Father_REP01,nonSNPs,simplerepeat,63449
HiSeq2500_LAB03_Father_REP01,SNPs,Alu,413095
HiSeq2500_LAB03_Father_REP01,SNPs,L1,607101
HiSeq2500_LAB03_Father_REP01,SNPs,L2,114757
HiSeq2500_LAB03_Father_REP01,SNPs,lowcomplexity,4631
HiSeq2500_LAB03_Father_REP01,SNPs,LTR,334881
HiSeq2500_LAB03_Father_REP01,SNPs,satellite,1850
HiSeq2500_LAB03_Father_REP01,SNPs,simplerepeat,30744
HiSeq2500_LAB03_Mother_REP01,nonSNPs,Alu,93628
HiSeq2500_LAB03_Mother_REP01,nonSNPs,L1,78853
HiSeq2500_LAB03_Mother_REP01,nonSNPs,L2,10697
HiSeq2500_LAB03_Mother_REP01,nonSNPs,lowcomplexity,3677
HiSeq2500_LAB03_Mother_REP01,nonSNPs,LTR,27924
HiSeq2500_LAB03_Mother_REP01,nonSNPs,satellite,148
HiSeq2500_LAB03_Mother_REP01,nonSNPs,simplerepeat,63793
HiSeq2500_LAB03_Mother_REP01,SNPs,Alu,412939
HiSeq2500_LAB03_Mother_REP01,SNPs,L1,613947
HiSeq2500_LAB03_Mother_REP01,SNPs,L2,115680
HiSeq2500_LAB03_Mother_REP01,SNPs,lowcomplexity,4584
HiSeq2500_LAB03_Mother_REP01,SNPs,LTR,338584
HiSeq2500_LAB03_Mother_REP01,SNPs,satellite,1849
HiSeq2500_LAB03_Mother_REP01,SNPs,simplerepeat,30648
HiSeq2500_LAB03_Son_REP01,nonSNPs,Alu,91813
HiSeq2500_LAB03_Son_REP01,nonSNPs,L1,78939
HiSeq2500_LAB03_Son_REP01,nonSNPs,L2,10683
HiSeq2500_LAB03_Son_REP01,nonSNPs,lowcomplexity,4130
HiSeq2500_LAB03_Son_REP01,nonSNPs,LTR,28006
HiSeq2500_LAB03_Son_REP01,nonSNPs,satellite,242
HiSeq2500_LAB03_Son_REP01,nonSNPs,simplerepeat,67350
HiSeq2500_LAB03_Son_REP01,SNPs,Alu,419299
HiSeq2500_LAB03_Son_REP01,SNPs,L1,609147
HiSeq2500_LAB03_Son_REP01,SNPs,L2,115072
HiSeq2500_LAB03_Son_REP01,SNPs,lowcomplexity,5005
HiSeq2500_LAB03_Son_REP01,SNPs,LTR,339337
HiSeq2500_LAB03_Son_REP01,SNPs,satellite,2539
HiSeq2500_LAB03_Son_REP01,SNPs,simplerepeat,33696
HiSeq2500_LAB03_Son_REP02,nonSNPs,Alu,96109
HiSeq2500_LAB03_Son_REP02,nonSNPs,L1,80405
HiSeq2500_LAB03_Son_REP02,nonSNPs,L2,10789
HiSeq2500_LAB03_Son_REP02,nonSNPs,lowcomplexity,4216
HiSeq2500_LAB03_Son_REP02,nonSNPs,LTR,28308
HiSeq2500_LAB03_Son_REP02,nonSNPs,satellite,243
HiSeq2500_LAB03_Son_REP02,nonSNPs,simplerepeat,70113
HiSeq2500_LAB03_Son_REP02,SNPs,Alu,420131
HiSeq2500_LAB03_Son_REP02,SNPs,L1,613362
HiSeq2500_LAB03_Son_REP02,SNPs,L2,115119
HiSeq2500_LAB03_Son_REP02,SNPs,lowcomplexity,5013
HiSeq2500_LAB03_Son_REP02,SNPs,LTR,339727
HiSeq2500_LAB03_Son_REP02,SNPs,satellite,2548
HiSeq2500_LAB03_Son_REP02,SNPs,simplerepeat,33868
HiSeq2500_LAB03_Son_REP03,nonSNPs,Alu,80975
HiSeq2500_LAB03_Son_REP03,nonSNPs,L1,73816
HiSeq2500_LAB03_Son_REP03,nonSNPs,L2,10028
HiSeq2500_LAB03_Son_REP03,nonSNPs,lowcomplexity,3714
HiSeq2500_LAB03_Son_REP03,nonSNPs,LTR,25984
HiSeq2500_LAB03_Son_REP03,nonSNPs,satellite,216
HiSeq2500_LAB03_Son_REP03,nonSNPs,simplerepeat,59861
HiSeq2500_LAB03_Son_REP03,SNPs,Alu,397165
HiSeq2500_LAB03_Son_REP03,SNPs,L1,584412
HiSeq2500_LAB03_Son_REP03,SNPs,L2,111772
HiSeq2500_LAB03_Son_REP03,SNPs,lowcomplexity,4778
HiSeq2500_LAB03_Son_REP03,SNPs,LTR,327068
HiSeq2500_LAB03_Son_REP03,SNPs,satellite,2414
HiSeq2500_LAB03_Son_REP03,SNPs,simplerepeat,31820
HiSeq4000_LAB01_Father_REP01,nonSNPs,Alu,91927
HiSeq4000_LAB01_Father_REP01,nonSNPs,L1,78983
HiSeq4000_LAB01_Father_REP01,nonSNPs,L2,10634
HiSeq4000_LAB01_Father_REP01,nonSNPs,lowcomplexity,3759
HiSeq4000_LAB01_Father_REP01,nonSNPs,LTR,28097
HiSeq4000_LAB01_Father_REP01,nonSNPs,satellite,145
HiSeq4000_LAB01_Father_REP01,nonSNPs,simplerepeat,67909
HiSeq4000_LAB01_Father_REP01,SNPs,Alu,414548
HiSeq4000_LAB01_Father_REP01,SNPs,L1,616771
HiSeq4000_LAB01_Father_REP01,SNPs,L2,114937
HiSeq4000_LAB01_Father_REP01,SNPs,lowcomplexity,4649
HiSeq4000_LAB01_Father_REP01,SNPs,LTR,336183
HiSeq4000_LAB01_Father_REP01,SNPs,satellite,1865
HiSeq4000_LAB01_Father_REP01,SNPs,simplerepeat,30909
HiSeq4000_LAB01_Mother_REP01,nonSNPs,Alu,92243
HiSeq4000_LAB01_Mother_REP01,nonSNPs,L1,79706
HiSeq4000_LAB01_Mother_REP01,nonSNPs,L2,10830
HiSeq4000_LAB01_Mother_REP01,nonSNPs,lowcomplexity,3672
HiSeq4000_LAB01_Mother_REP01,nonSNPs,LTR,28400
HiSeq4000_LAB01_Mother_REP01,nonSNPs,satellite,150
HiSeq4000_LAB01_Mother_REP01,nonSNPs,simplerepeat,68304
HiSeq4000_LAB01_Mother_REP01,SNPs,Alu,414313
HiSeq4000_LAB01_Mother_REP01,SNPs,L1,624340
HiSeq4000_LAB01_Mother_REP01,SNPs,L2,115873
HiSeq4000_LAB01_Mother_REP01,SNPs,lowcomplexity,4604
HiSeq4000_LAB01_Mother_REP01,SNPs,LTR,340075
HiSeq4000_LAB01_Mother_REP01,SNPs,satellite,1864
HiSeq4000_LAB01_Mother_REP01,SNPs,simplerepeat,30842
HiSeq4000_LAB01_Son_REP01,nonSNPs,Alu,87497
HiSeq4000_LAB01_Son_REP01,nonSNPs,L1,79104
HiSeq4000_LAB01_Son_REP01,nonSNPs,L2,10782
HiSeq4000_LAB01_Son_REP01,nonSNPs,lowcomplexity,4099
HiSeq4000_LAB01_Son_REP01,nonSNPs,LTR,28450
HiSeq4000_LAB01_Son_REP01,nonSNPs,satellite,250
HiSeq4000_LAB01_Son_REP01,nonSNPs,simplerepeat,73364
HiSeq4000_LAB01_Son_REP01,SNPs,Alu,420662
HiSeq4000_LAB01_Son_REP01,SNPs,L1,618397
HiSeq4000_LAB01_Son_REP01,SNPs,L2,115205
HiSeq4000_LAB01_Son_REP01,SNPs,lowcomplexity,5039
HiSeq4000_LAB01_Son_REP01,SNPs,LTR,340790
HiSeq4000_LAB01_Son_REP01,SNPs,satellite,2568
HiSeq4000_LAB01_Son_REP01,SNPs,simplerepeat,34017
HiSeq4000_LAB01_Son_REP02,nonSNPs,Alu,95647
HiSeq4000_LAB01_Son_REP02,nonSNPs,L1,80681
HiSeq4000_LAB01_Son_REP02,nonSNPs,L2,10894
HiSeq4000_LAB01_Son_REP02,nonSNPs,lowcomplexity,4308
HiSeq4000_LAB01_Son_REP02,nonSNPs,LTR,28863
HiSeq4000_LAB01_Son_REP02,nonSNPs,satellite,252
HiSeq4000_LAB01_Son_REP02,nonSNPs,simplerepeat,75199
HiSeq4000_LAB01_Son_REP02,SNPs,Alu,422326
HiSeq4000_LAB01_Son_REP02,SNPs,L1,621933
HiSeq4000_LAB01_Son_REP02,SNPs,L2,115281
HiSeq4000_LAB01_Son_REP02,SNPs,lowcomplexity,5056
HiSeq4000_LAB01_Son_REP02,SNPs,LTR,341213
HiSeq4000_LAB01_Son_REP02,SNPs,satellite,2570
HiSeq4000_LAB01_Son_REP02,SNPs,simplerepeat,34164
HiSeq4000_LAB01_Son_REP03,nonSNPs,Alu,96515
HiSeq4000_LAB01_Son_REP03,nonSNPs,L1,80012
HiSeq4000_LAB01_Son_REP03,nonSNPs,L2,10931
HiSeq4000_LAB01_Son_REP03,nonSNPs,lowcomplexity,4289
HiSeq4000_LAB01_Son_REP03,nonSNPs,LTR,28847
HiSeq4000_LAB01_Son_REP03,nonSNPs,satellite,251
HiSeq4000_LAB01_Son_REP03,nonSNPs,simplerepeat,74894
HiSeq4000_LAB01_Son_REP03,SNPs,Alu,422630
HiSeq4000_LAB01_Son_REP03,SNPs,L1,622426
HiSeq4000_LAB01_Son_REP03,SNPs,L2,115279
HiSeq4000_LAB01_Son_REP03,SNPs,lowcomplexity,5054
HiSeq4000_LAB01_Son_REP03,SNPs,LTR,341362
HiSeq4000_LAB01_Son_REP03,SNPs,satellite,2570
HiSeq4000_LAB01_Son_REP03,SNPs,simplerepeat,34129
HiSeq4000_LAB02_Father_REP01,nonSNPs,Alu,96223
HiSeq4000_LAB02_Father_REP01,nonSNPs,L1,79622
HiSeq4000_LAB02_Father_REP01,nonSNPs,L2,10716
HiSeq4000_LAB02_Father_REP01,nonSNPs,lowcomplexity,3843
HiSeq4000_LAB02_Father_REP01,nonSNPs,LTR,28284
HiSeq4000_LAB02_Father_REP01,nonSNPs,satellite,146
HiSeq4000_LAB02_Father_REP01,nonSNPs,simplerepeat,68550
HiSeq4000_LAB02_Father_REP01,SNPs,Alu,415077
HiSeq4000_LAB02_Father_REP01,SNPs,L1,616637
HiSeq4000_LAB02_Father_REP01,SNPs,L2,114910
HiSeq4000_LAB02_Father_REP01,SNPs,lowcomplexity,4648
HiSeq4000_LAB02_Father_REP01,SNPs,LTR,336143
HiSeq4000_LAB02_Father_REP01,SNPs,satellite,1859
HiSeq4000_LAB02_Father_REP01,SNPs,simplerepeat,30935
HiSeq4000_LAB02_Mother_REP01,nonSNPs,Alu,98745
HiSeq4000_LAB02_Mother_REP01,nonSNPs,L1,80396
HiSeq4000_LAB02_Mother_REP01,nonSNPs,L2,10923
HiSeq4000_LAB02_Mother_REP01,nonSNPs,lowcomplexity,3807
HiSeq4000_LAB02_Mother_REP01,nonSNPs,LTR,28647
HiSeq4000_LAB02_Mother_REP01,nonSNPs,satellite,151
HiSeq4000_LAB02_Mother_REP01,nonSNPs,simplerepeat,69409
HiSeq4000_LAB02_Mother_REP01,SNPs,Alu,415176
HiSeq4000_LAB02_Mother_REP01,SNPs,L1,623054
HiSeq4000_LAB02_Mother_REP01,SNPs,L2,115855
HiSeq4000_LAB02_Mother_REP01,SNPs,lowcomplexity,4606
HiSeq4000_LAB02_Mother_REP01,SNPs,LTR,339977
HiSeq4000_LAB02_Mother_REP01,SNPs,satellite,1863
HiSeq4000_LAB02_Mother_REP01,SNPs,simplerepeat,30878
HiSeq4000_LAB02_Son_REP01,nonSNPs,Alu,100494
HiSeq4000_LAB02_Son_REP01,nonSNPs,L1,81566
HiSeq4000_LAB02_Son_REP01,nonSNPs,L2,11054
HiSeq4000_LAB02_Son_REP01,nonSNPs,lowcomplexity,4403
HiSeq4000_LAB02_Son_REP01,nonSNPs,LTR,29115
HiSeq4000_LAB02_Son_REP01,nonSNPs,satellite,253
HiSeq4000_LAB02_Son_REP01,nonSNPs,simplerepeat,76213
HiSeq4000_LAB02_Son_REP01,SNPs,Alu,422753
HiSeq4000_LAB02_Son_REP01,SNPs,L1,620806
HiSeq4000_LAB02_Son_REP01,SNPs,L2,115265
HiSeq4000_LAB02_Son_REP01,SNPs,lowcomplexity,5053
HiSeq4000_LAB02_Son_REP01,SNPs,LTR,341080
HiSeq4000_LAB02_Son_REP01,SNPs,satellite,2567
HiSeq4000_LAB02_Son_REP01,SNPs,simplerepeat,34178
HiSeq4000_LAB02_Son_REP02,nonSNPs,Alu,100395
HiSeq4000_LAB02_Son_REP02,nonSNPs,L1,81910
HiSeq4000_LAB02_Son_REP02,nonSNPs,L2,11026
HiSeq4000_LAB02_Son_REP02,nonSNPs,lowcomplexity,4410
HiSeq4000_LAB02_Son_REP02,nonSNPs,LTR,29144
HiSeq4000_LAB02_Son_REP02,nonSNPs,satellite,252
HiSeq4000_LAB02_Son_REP02,nonSNPs,simplerepeat,76354
HiSeq4000_LAB02_Son_REP02,SNPs,Alu,422555
HiSeq4000_LAB02_Son_REP02,SNPs,L1,622014
HiSeq4000_LAB02_Son_REP02,SNPs,L2,115282
HiSeq4000_LAB02_Son_REP02,SNPs,lowcomplexity,5063
HiSeq4000_LAB02_Son_REP02,SNPs,LTR,341137
HiSeq4000_LAB02_Son_REP02,SNPs,satellite,2562
HiSeq4000_LAB02_Son_REP02,SNPs,simplerepeat,34238
HiSeq4000_LAB02_Son_REP03,nonSNPs,Alu,100445
HiSeq4000_LAB02_Son_REP03,nonSNPs,L1,81724
HiSeq4000_LAB02_Son_REP03,nonSNPs,L2,11041
HiSeq4000_LAB02_Son_REP03,nonSNPs,lowcomplexity,4363
HiSeq4000_LAB02_Son_REP03,nonSNPs,LTR,29120
HiSeq4000_LAB02_Son_REP03,nonSNPs,satellite,253
HiSeq4000_LAB02_Son_REP03,nonSNPs,simplerepeat,76212
HiSeq4000_LAB02_Son_REP03,SNPs,Alu,422806
HiSeq4000_LAB02_Son_REP03,SNPs,L1,622700
HiSeq4000_LAB02_Son_REP03,SNPs,L2,115314
HiSeq4000_LAB02_Son_REP03,SNPs,lowcomplexity,5058
HiSeq4000_LAB02_Son_REP03,SNPs,LTR,341256
HiSeq4000_LAB02_Son_REP03,SNPs,satellite,2571
HiSeq4000_LAB02_Son_REP03,SNPs,simplerepeat,34214
HiSeq4000_LAB03_Father_REP01,nonSNPs,Alu,95669
HiSeq4000_LAB03_Father_REP01,nonSNPs,L1,79423
HiSeq4000_LAB03_Father_REP01,nonSNPs,L2,10687
HiSeq4000_LAB03_Father_REP01,nonSNPs,lowcomplexity,3831
HiSeq4000_LAB03_Father_REP01,nonSNPs,LTR,28237
HiSeq4000_LAB03_Father_REP01,nonSNPs,satellite,147
HiSeq4000_LAB03_Father_REP01,nonSNPs,simplerepeat,68376
HiSeq4000_LAB03_Father_REP01,SNPs,Alu,414696
HiSeq4000_LAB03_Father_REP01,SNPs,L1,616559
HiSeq4000_LAB03_Father_REP01,SNPs,L2,114884
HiSeq4000_LAB03_Father_REP01,SNPs,lowcomplexity,4652
HiSeq4000_LAB03_Father_REP01,SNPs,LTR,336022
HiSeq4000_LAB03_Father_REP01,SNPs,satellite,1864
HiSeq4000_LAB03_Father_REP01,SNPs,simplerepeat,30945
HiSeq4000_LAB03_Mother_REP01,nonSNPs,Alu,97747
HiSeq4000_LAB03_Mother_REP01,nonSNPs,L1,80095
HiSeq4000_LAB03_Mother_REP01,nonSNPs,L2,10886
HiSeq4000_LAB03_Mother_REP01,nonSNPs,lowcomplexity,3763
HiSeq4000_LAB03_Mother_REP01,nonSNPs,LTR,28596
HiSeq4000_LAB03_Mother_REP01,nonSNPs,satellite,150
